BUYER_COUNTY,all_active_wt,oxy_wt,hyd_wt,perc_oxy,perc_hyd,perc_retail,perc_chain,perc_practitioner,most_dist_channel,pharmacy_num,dominance,State,Year,est_death_rate_cat,Population,median_income,Political.affiliation,act_wt_person_county,political_aff
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,Ohio,2012,2,15710,37088,Republican,1.6872011508593252,Republican
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,Ohio,2012,2,15710,37088,Democrat,1.6872011508593252,Democrat
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,Ohio,2012,2,15710,41799,Republican,1.6872011508593252,Republican
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,Ohio,2012,2,15710,41799,Democrat,1.6872011508593252,Democrat
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,West Virginia,2012,4,69178,37088,Republican,0.38315548411344647,Republican
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,West Virginia,2012,4,69178,37088,Democrat,0.38315548411344647,Democrat
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,West Virginia,2012,4,69178,41799,Republican,0.38315548411344647,Republican
HARRISON,26505.93008,11827.658975,14678.271105,44.6,55.4,0.5420581408201613,0.456062783243064,0.0018790759367746214,RETAIL PHARMACY,36,No,West Virginia,2012,4,69178,41799,Democrat,0.38315548411344647,Democrat
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,West Virginia,2012,3,29305,36903,Republican,1.0181446289029175,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,West Virginia,2012,3,29305,36903,Republican,1.0181446289029175,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,West Virginia,2012,3,29305,41087,Republican,1.0181446289029175,Republican
JACKSON,29836.728349999998,19483.858625,10352.869725,65.3,34.7,0.4035165813487647,0.5925884709548186,0.003894947696416648,CHAIN PHARMACY,25,No,West Virginia,2012,3,29305,41087,Republican,1.0181446289029175,Republican
